GENESIS-Tabelle: 12421-105
Demographiespiegel: Gemeinden, Durchschnittsalter/;;
Jugendquotient/Altenquotient, Stichtage;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;
Durchschnittsalter der Bevölkerung (Jahre);;
;;2019
09275141;Pocking, St;45,0
09275143;Rotthalmünster, M;46,7
09275144;Ruderting;44,5
09275145;Ruhstorf a.d.Rott, M;45,7
09275146;Salzweg;45,2
09275148;Sonnen;43,2
09275149;Tettenweis;45,6
09275150;Thyrnau;45,2
09275151;Tiefenbach;44,5
09275152;Tittling, M;45,3
09275153;Untergriesbach, M;43,8
09275154;Vilshofen an der Donau, St;44,9
09275156;Wegscheid, M;44,0
09275159;Windorf, M;44,3
09275160;Witzmannsberg;44,5
09276111;Achslach;44,2
09276113;Arnbruck;45,3
09276115;Bayerisch Eisenstein;49,9
09276116;Bischofsmais;45,0
09276117;Bodenmais, M;47,2
09276118;Böbrach;45,5
09276120;Drachselsried;46,6
09276121;Frauenau;47,7
09276122;Geiersthal;44,4
09276123;Gotteszell;44,5
09276126;Kirchberg i.Wald;43,0
09276127;Kirchdorf i.Wald;44,6
09276128;Kollnburg;43,8
09276129;Langdorf;45,5
09276130;Lindberg;47,1
09276134;Patersdorf;43,6
09276135;Prackenbach;44,3
09276138;Regen, St;44,9
09276139;Rinchnach;44,4
09276142;Ruhmannsfelden, M;45,9
09276143;Teisnach, M;43,5
09276144;Viechtach, St;45,9
09276146;Zachenberg;43,9
09276148;Zwiesel, St;48,3
09277111;Arnstorf, M;43,3
09277112;Bayerbach;45,4
09277113;Bad Birnbach, M;48,5
09277114;Dietersburg;44,9
09277116;Eggenfelden, St;44,1
09277117;Egglham;46,5
09277118;Ering;45,4
09277119;Falkenberg;44,0
09277121;Gangkofen, M;43,3
09277122;Geratskirchen;40,6
09277124;Hebertsfelden;44,5
09277126;Johanniskirchen;45,4
09277127;Julbach;44,1
09277128;Kirchdorf a.Inn;45,0
09277131;Malgersdorf;42,9
09277133;Massing, M;44,0
09277134;Mitterskirchen;42,9
09277138;Pfarrkirchen, St;43,9
09277139;Postmünster;46,2
09277140;Reut;44,8
09277141;Rimbach;43,9
09277142;Roßbach;45,5
09277144;Schönau;44,0
09277145;Simbach a.Inn, St;46,0
09277147;Stubenberg;45,9
09277148;Tann, M;45,8
09277149;Triftern, M;45,1
09277151;Unterdietfurt;44,0
09277152;Wittibreut;44,1
09277153;Wurmannsquick, M;45,1
09277154;Zeilarn;44,4
09278112;Aholfing;42,0
09278113;Aiterhofen;43,8
09278116;Ascha;41,3
09278117;Atting;44,1
09278118;Bogen, St;44,4
09278120;Falkenfels;43,3
09278121;Feldkirchen;39,9
09278123;Geiselhöring, St;44,4
09278129;Haibach;45,6
09278134;Haselbach;44,0
09278139;Hunderdorf;44,6
09278140;Irlbach;44,7
09278141;Kirchroth;43,4
09278143;Konzell;44,0
09278144;Laberweinting;45,1
09278146;Leiblfing;43,7
09278147;Loitzendorf;45,8
09278148;Mallersdorf-Pfaffenberg, M;46,4
09278149;Mariaposching;42,7
09278151;Mitterfels, M;44,8
09278154;Neukirchen;44,5
09278159;Niederwinkling;41,2
09278167;Oberschneiding;42,8
09278170;Parkstetten;43,8
09278171;Perasdorf;44,7
09278172;Perkam;43,4
09278177;Rain;42,6
09278178;Rattenberg;45,0
09278179;Rattiszell;44,5
09278182;Salching;43,7
09278184;Sankt Englmar;44,1
09278187;Schwarzach, M;43,0
09278189;Stallwang;44,0
09278190;Steinach;43,3
09278192;Straßkirchen;44,3
09278197;Wiesenfelden;43,7
09278198;Windberg;44,2
09279112;Dingolfing, St;42,7
09279113;Eichendorf, M;45,8
09279115;Frontenhausen, M;42,7
09279116;Gottfrieding;43,6
09279122;Landau a.d.Isar, St;44,0
09279124;Loiching;44,2
09279125;Mamming;42,7
09279126;Marklkofen;43,5
09279127;Mengkofen;43,1
09279128;Moosthenning;43,5
09279130;Niederviehbach;44,2
09279132;Pilsting, M;44,3
09279134;Reisbach, M;43,7
09279135;Simbach, M;43,2
09279137;Wallersdorf, M;43,9
09361000;Amberg (Krfr.St);45,7
09362000;Regensburg (Krfr.St);41,4
09363000;Weiden i.d.OPf. (Krfr.St);45,3
09371111;Ammerthal;43,5
09371113;Auerbach i.d.OPf., St;45,5
09371116;Birgland;44,8
09371118;Ebermannsdorf;44,3
09371119;Edelsfeld;44,6
09371120;Ensdorf;45,6
09371121;Freihung, M;45,0
09371122;Freudenberg;44,1
09371123;Gebenbach;43,5
09371126;Hahnbach, M;45,2
09371127;Hirschau, St;46,9
09371128;Hirschbach;45,9
09371129;Hohenburg, M;45,0
09371131;Illschwang;43,9
09371132;Kastl, M;45,2
09371135;Königstein, M;45,6
09371136;Kümmersbruck;45,0
09371140;Etzelwang;46,0
09371141;Neukirchen b.Sulzbach-Rosenberg;46,9
09371144;Poppenricht;44,6
09371146;Rieden, M;44,5
09371148;Schmidmühlen, M;45,6
09371150;Schnaittenbach, St;45,9
09371151;Sulzbach-Rosenberg, St;46,0
09371154;Ursensollen;44,0
09371156;Vilseck, St;42,5
09371157;Weigendorf;46,5
09371444;Gemeindefreie Gebiete;-
09372112;Arnschwang;43,8
09372113;Arrach;45,6
09372115;Blaibach;45,1
09372116;Cham, St;45,2
09372117;Chamerau;45,5
09372124;Eschlkam, M;43,6
09372125;Falkenstein, M;43,7
09372126;Furth im Wald, St;45,9
09372128;Gleißenberg;44,7
09372130;Grafenwiesen;46,9
09372135;Hohenwarth;46,2
09372137;Bad Kötzting, St;46,5
09372138;Lam, M;48,4
09372142;Michelsneukirchen;42,3
09372143;Miltach;44,6
09372144;Neukirchen b.Hl.Blut, M;46,4
09372146;Pemfling;43,9
09372147;Pösing;44,3
09372149;Reichenbach;45,0
09372150;Rettenbach;43,7
09372151;Rimbach;46,4
09372153;Roding, St;43,6
09372154;Rötz, St;44,3
09372155;Runding;44,6
09372157;Schönthal;43,8
09372158;Schorndorf;42,7
09372161;Stamsried, M;43,3
09372163;Tiefenbach;47,0
09372164;Traitsching;44,1
09372165;Treffelstein;47,0
09372167;Zell;43,7
09372168;Waffenbrunn;44,1
09372169;Wald;44,2
09372170;Walderbach;42,6
09372171;Waldmünchen, St;47,5
